id,movie_id,actor_id
,,
1,1,518
,,
2,1,142
,,
3,1,486
,,
4,2,142
,,
5,2,410
,,
6,2,505
,,
7,3,592
,,
8,3,511
,,
9,3,494
,,
10,4,609
,,
11,4,62
,,
12,4,336
,,
13,5,237
,,
14,5,467
,,
15,5,273
,,
16,6,609
,,
17,6,357
,,
18,6,363
,,
19,7,256
,,
20,7,214
,,
21,7,200
,,
22,8,61
,,
23,8,76
,,
24,8,401
,,
25,9,142
,,
26,9,192
,,
27,9,2
,,
28,10,434
,,
29,10,401
,,
30,10,592
,,
31,11,382
,,
32,11,142
,,
33,11,599
,,
34,12,3
,,
35,12,444
,,
36,12,5
,,
37,13,592
,,
38,13,494
,,
39,13,74
,,
40,14,256
,,
41,14,563
,,
42,14,363
,,
43,15,421
,,
44,15,350
,,
45,15,398
,,
46,16,20
,,
47,16,440
,,
48,16,152
,,
49,17,242
,,
50,17,593
,,
51,17,197
,,
52,18,256
,,
53,18,55
,,
54,18,336
,,
55,19,131
,,
56,19,474
,,
57,19,545
,,
58,20,242
,,
59,20,289
,,
60,20,602
,,
61,21,131
,,
62,21,545
,,
63,21,162
,,
64,22,548
,,
65,22,372
,,
66,23,168
,,
67,23,304
,,
68,23,157
,,
69,24,114
,,
70,24,138
,,
71,24,25
,,
72,25,609
,,
73,25,4
,,
74,26,542
,,
75,26,256
,,
76,26,317
,,
77,27,256
,,
78,27,401
,,
79,27,205
,,
80,28,131
,,
81,28,27
,,
82,28,212
,,
83,29,542
,,
84,29,131
,,
85,29,265
,,
86,30,31
,,
87,30,254
,,
88,31,280
,,
89,31,78
,,
90,31,195
,,
91,32,592
,,
92,32,245
,,
93,32,69
,,
94,33,454
,,
95,33,284
,,
96,33,540
,,
97,34,511
,,
98,34,186
,,
99,34,347
,,
100,35,442
,,
101,35,278
,,
102,35,13
,,
103,36,606
,,
104,36,363
,,
105,36,67
,,
106,37,239
,,
107,37,137
,,
108,37,473
,,
109,38,609
,,
110,38,437
,,
111,39,566
,,
112,39,448
,,
113,40,239
,,
114,40,171
,,
115,40,612
,,
116,41,256
,,
117,41,20
,,
118,42,200
,,
119,42,142
,,
120,42,39
,,
121,43,163
,,
122,43,291
,,
123,43,129
,,
124,44,364
,,
125,44,280
,,
126,44,7
,,
127,45,44
,,
128,45,289
,,
129,45,397
,,
130,46,569
,,
131,46,158
,,
132,47,61
,,
133,47,592
,,
134,47,363
,,
135,48,592
,,
136,48,595
,,
137,48,143
,,
138,49,382
,,
139,49,4
,,
140,49,59
,,
141,50,592
,,
142,50,202
,,
143,50,336
,,
144,51,131
,,
145,51,542
,,
146,51,545
,,
